x y z
0.6007252441 0.0387312500 0.0824425781 
0.1223775635 0.5375257324 0.8104582520 
0.8510535400 0.4520701660 0.0951259033 
0.2642067871 0.9638085205 0.6973757080 
0.9916098145 0.6523206787 0.1937089600 
0.0153317871 0.6168101318 0.0779696533 
0.7474821533 0.9337239990 0.2770807129 
0.3750591064 0.1722481934 0.8286977539 
0.7427546387 0.4519076416 0.1312168701 
0.1225184326 0.2002615723 0.5172272705 
0.1553713623 0.7868676514 0.1723913330 
0.1345585938 0.5977130371 0.2654855713 
0.2233922607 0.2473609375 0.7988864502 
0.2823720947 0.3824708008 0.4245561768 
0.2661907227 0.8232609131 0.5258618408 
0.2950535889 0.8271782471 0.5893521973 
0.6931126953 0.9399200684 0.2000420410 
0.5680640381 0.3290506104 0.4240890137 
0.7812998291 0.5843704346 0.9183694336 
0.0846951660 0.8179068848 0.9116621094 
0.9888693115 0.5162535156 0.9593653564 
0.9733058105 0.4823604980 0.1466572510 
0.4474083252 0.8224950195 0.4419652100 
0.9320110840 0.0584018311 0.8907520020 
0.4171471680 0.9254866699 0.4053272949 
0.4188548828 0.6038878174 0.0290468994 
0.8402756348 0.2764871338 0.0680042480 
0.4389714844 0.6403420166 0.9732392822 
0.0703726318 0.1602696045 0.3053811279 
0.7152624023 0.0779800781 0.3440960205 
0.7399658203 0.5156272949 0.0940696045 
0.7438414062 0.9285254639 0.4278056641 
0.1703136963 0.7858512451 0.4327572998 
0.2060126709 0.8589025879 0.4503815918 
0.9629224854 0.3623173096 0.2946665771 
0.5413946533 0.1626118164 0.7358629150 
0.3618702637 0.1762208008 0.9439286377 
0.1137455322 0.2542381836 0.5480061035 
0.3055168213 0.9522692139 0.5312634521 
0.7750218994 0.1193817139 0.4974530273 
0.3892605469 0.1355847412 0.6751131592 
0.3823849854 0.0275029785 0.9901451660 
0.8996309082 0.9646370117 0.9683663330 
0.9424366943 0.8303105713 0.9737404541 
0.2572591797 0.9389613037 0.7670114990 
0.2319695312 0.3624118164 0.3611786621 
0.8593512939 0.7400190430 0.2148940918 
0.0590673828 0.9289383057 0.9147597900 
0.1258689453 0.9070593506 0.5507603027 
0.7669882813 0.7855488525 0.9817793701 
0.1286035645 0.0720723145 0.6240430176 
0.8703356689 0.4137386230 0.4163681885 
0.1627935059 0.7604260986 0.8923192627 
0.7083763672 0.1033576660 0.2804731201 
0.8372485352 0.9500010498 0.0064760010 
0.3231687012 0.8276578613 0.6597937256 
0.9634753418 0.2780495361 0.2204488037 
0.0091638184 0.2443362061 0.5967351074 
0.5706938965 0.5325309326 0.0523466797 
0.9871586670 0.0085319336 0.9943474609 
0.7328281006 0.3874205566 0.9123284180 
0.0767911133 0.9339629150 0.9880431641 
0.4601124512 0.1631722412 0.5656075195 
0.7825458740 0.9570318604 0.4858124756 
0.6810991943 0.1941434326 0.1154339111 
0.4165502686 0.1459518066 0.0569591797 
0.1114339600 0.8897422119 0.6198649902 
0.1656803467 0.7728823730 0.3736223633 
0.8112014404 0.4691477783 0.1918774414 
0.5510660889 0.0291981689 0.2667397705 
0.9222222900 0.1324155273 0.1873681641 
0.2305522705 0.3825087402 0.9543140625 
0.3053319580 0.2883386963 0.9191397949 
0.2297422852 0.1974100586 0.5055508545 
0.6855080322 0.1404811768 0.0796810059 
0.4025798340 0.0247256836 0.0600604736 
0.2426388428 0.6603924072 0.6557953369 
0.7630161865 0.1566125732 0.9351804932 
0.4071424805 0.1377085693 0.9160032715 
0.0475028564 0.7529257080 0.4512378418 
0.6031538086 0.7740797607 0.1903102051 
0.9536394287 0.1902036377 0.5920429199 
0.8908757568 0.5171870850 0.9027002930 
0.8072849854 0.1471785156 0.3137502930 
0.2242909424 0.8243580078 0.9969640137 
0.2022364502 0.9511250244 0.3637953125 
0.7210469971 0.0163340332 0.3490122559 
0.8456314697 0.9346027832 0.7546829590 
0.7788117676 0.0928967041 0.2127156982 
0.5924903076 0.9748434082 0.3360785156 
0.9885421631 0.1101275146 0.6887661865 
0.0473881104 0.5297498291 0.9627681885 
0.4348947510 0.2987870361 0.2562515381 
0.9359193359 0.8215885498 0.6935096924 
0.0231599365 0.9004813477 0.7024724854 
0.0030553711 0.7213047119 0.7301389404 
0.6302906006 0.5995806396 0.9162871826 
0.6223075928 0.0500591309 0.1598130615 
0.5247022461 0.8277731201 0.6310234863 
0.2035758545 0.1740771729 0.3627487793 
0.2273197998 0.1457755615 0.1138044922 
0.0498847900 0.9890632080 0.5618052002 
0.1109109375 0.7618081543 0.1303289307 
0.8406708984 0.1693050049 0.7380872803 
0.7537408203 0.5500363037 0.2057217529 
0.1932989990 0.8419805176 0.2086803223 
0.5004406006 0.8727650879 0.0215851563 
0.5005392090 0.9234141846 0.7727713379 
0.8044521729 0.6624299561 0.9376393066 
0.4985349854 0.3042242432 0.0063576904 
0.3769735596 0.9648884277 0.5156138672 
0.1146852539 0.2555652100 0.2447073486 
0.8469785889 0.8333324219 0.1812122559 
0.2245581299 0.8536232178 0.6295406494 
0.0840724609 0.6965315674 0.5061687256 
0.1257072998 0.8842149658 0.7494749512 
0.0503488281 0.8592829834 0.3813678223 
0.3969720215 0.8026281982 0.1515630371 
0.7193197021 0.2495167236 0.4997269043 
0.9876402832 0.9136665771 0.8980397461 
0.2142061279 0.0676241699 0.6160863281 
0.6079145752 0.2035197266 0.6769230225 
0.7582911133 0.0702652832 0.0158062500 
0.2068590332 0.7056596191 0.0774376221 
0.2220350830 0.8162904541 0.7511524902 
0.1463398926 0.8022787842 0.3172459961 
0.0777150635 0.9608960205 0.1165243652 
0.6668282959 0.8245606445 0.8969444092 
0.1822805664 0.4157232910 0.2618968994 
0.3586553223 0.5286309814 0.0833528320 
0.2395581543 0.3948328125 0.0934223633 
0.7937012695 0.8643345215 0.4267760742 
0.6669130371 0.1356944580 0.6793897217 
0.4418142090 0.3143134521 0.8923921143 
0.4419102783 0.1946244873 0.1650397705 
0.2397949951 0.7381045898 0.9368867920 
0.2202194580 0.9489876465 0.0679066895 
0.0386163574 0.1913710449 0.7703199463 
0.5616049072 0.2496466309 0.2905023437 
0.2765033691 0.9729257324 0.8636928223 
0.1221489746 0.8405681396 0.8459550537 
0.4524006104 0.8235380127 0.6464436523 
0.8535702881 0.6830262207 0.8911562256 
0.3388617187 0.0450013184 0.9374371094 
0.1828223877 0.0010958984 0.1976167480 
0.9266555420 0.1304071533 0.6145483154 
0.2491064209 0.2835098633 0.4018823242 
0.1639017090 0.4912760986 0.9275004395 
0.9877633545 0.7600773438 0.2698769287 
0.1243579834 0.4937576660 0.4211874756 
0.5285205078 0.1938489990 0.0513419434 
0.6571226563 0.0837246338 0.3262496094 
0.3839136963 0.0926134521 0.3710770996 
0.1791439209 0.2928619141 0.5703152344 
0.0461384521 0.7796190918 0.7602414307 
0.0661069092 0.4042619385 0.3320520264 
0.0553086426 0.1009273682 0.2855510742 
0.7751003662 0.2672833496 0.2678833496 
0.4231135742 0.1311661377 0.7886430420 
0.9895924316 0.0737276611 0.7480316895 
0.4047265381 0.7161346436 0.5163510742 
0.8806068115 0.8568328369 0.9493320801 
0.3360227295 0.0649385010 0.3154702637 
0.3387404541 0.9591856445 0.6915024170 
